time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-03-07T00:00:00.0000000Z;2021-03-08T00:00:00.0000000Z;2021-03-07T00:01:00.0000000Z;2021-03-07T23:59:00.0000000Z;49004.7790853266;51444.138358400436;49004.7790853266;51127.184795541354
2021-03-08T00:00:00.0000000Z;2021-03-09T00:00:00.0000000Z;2021-03-08T00:01:00.0000000Z;2021-03-08T23:59:00.0000000Z;50861.162831008616;52378.99947596048;49361.63682376472;52290.946136001665
2021-03-09T00:00:00.0000000Z;2021-03-10T00:00:00.0000000Z;2021-03-09T00:01:00.0000000Z;2021-03-09T23:59:00.0000000Z;52464.53179699552;54898.842010643224;51960.73167863585;54898.842010643224
2021-03-10T00:00:00.0000000Z;2021-03-11T00:00:00.0000000Z;2021-03-10T00:01:00.0000000Z;2021-03-10T23:59:00.0000000Z;55004.17293019625;57353.15536994969;53122.895901350195;56023.79949137779
2021-03-11T00:00:00.0000000Z;2021-03-12T00:00:00.0000000Z;2021-03-11T00:01:00.0000000Z;2021-03-11T23:59:00.0000000Z;56052.7395372296;58120.14370584902;54374.29159478658;57775.83050524267
2021-03-12T00:00:00.0000000Z;2021-03-13T00:00:00.0000000Z;2021-03-12T00:01:00.0000000Z;2021-03-12T23:59:00.0000000Z;57903.420621230776;58028.9685387798;55158.581078522235;57196.81252059905
2021-03-13T00:00:00.0000000Z;2021-03-14T00:00:00.0000000Z;2021-03-13T00:01:00.0000000Z;2021-03-13T23:59:00.0000000Z;57171.97214401271;61743.66756574834;56119.32860046217;61254.42237466141
2021-03-14T00:00:00.0000000Z;2021-03-15T00:00:00.0000000Z;2021-03-14T00:01:00.0000000Z;2021-03-14T23:59:00.0000000Z;61133.29103700503;61665.266199858175;59118.87939922389;59118.87939922389
2021-03-15T00:00:00.0000000Z;2021-03-16T00:00:00.0000000Z;2021-03-15T00:01:00.0000000Z;2021-03-15T23:59:00.0000000Z;59214.191584020584;60560.69684631825;55166.99583426146;55762.11328620356
2021-03-16T00:00:00.0000000Z;2021-03-17T00:00:00.0000000Z;2021-03-16T00:01:00.0000000Z;2021-03-16T23:59:00.0000000Z;55418.60077144182;56862.89006643126;53253.43673910239;56862.89006643126
2021-03-17T00:00:00.0000000Z;2021-03-18T00:00:00.0000000Z;2021-03-17T00:01:00.0000000Z;2021-03-17T23:59:00.0000000Z;57143.1268158055;58959.87762112516;54274.259273279145;58900.40171133207
2021-03-18T00:00:00.0000000Z;2021-03-19T00:00:00.0000000Z;2021-03-18T00:01:00.0000000Z;2021-03-18T23:59:00.0000000Z;59224.60288566374;60063.06868715505;57064.009152280334;57663.26023561676
2021-03-19T00:00:00.0000000Z;2021-03-20T00:00:00.0000000Z;2021-03-19T00:01:00.0000000Z;2021-03-19T23:59:00.0000000Z;57576.81967315418;59416.608433098314;56291.487611025914;58137.63807691545
2021-03-20T00:00:00.0000000Z;2021-03-21T00:00:00.0000000Z;2021-03-20T00:01:00.0000000Z;2021-03-20T23:59:00.0000000Z;58011.6157575914;59866.535006483624;57892.16608345296;58099.67271918325
2021-03-21T00:00:00.0000000Z;2021-03-22T00:00:00.0000000Z;2021-03-21T00:01:00.0000000Z;2021-03-21T23:59:00.0000000Z;58061.59470607337;59029.6555335689;55691.624069146426;57456.589530093675
2021-03-22T00:00:00.0000000Z;2021-03-23T00:00:00.0000000Z;2021-03-22T00:01:00.0000000Z;2021-03-22T23:59:00.0000000Z;57385.627725164726;58373.08681082875;54051.42551328505;54248.02722076985
